"","Name","Gender","Total"
"885","Avalynn","F",629
"886","Jewel","F",606
"887","Jasmin","F",591
"888","Paula","F",656
"889","Jordynn","F",553
"890","Kai","F",624
"891","Kenya","F",633
"892","Kristen","F",560
"893","Aya","F",630
"894","Julianne","F",606
"895","Annalee","F",618
"896","Zion","F",602
"897","Ann","F",570
"898","Kiley","F",517
"899","Marleigh","F",600
"900","Paloma","F",591
"901","Aminah","F",561
"902","Amya","F",589
"903","Emmaline","F",612
"904","Nataly","F",656
"905","Iliana","F",633
"906","Jaida","F",543
"907","Louisa","F",647
"908","Asia","F",530
"909","Dalary","F",623
"910","Halle","F",577
"911","Sarahi","F",532
"912","Tara","F",563
"913","Alisson","F",561
"914","Andi","F",621
"915","Arden","F",575
"916","Aimee","F",558
"917","Aitana","F",863
"918","Briley","F",564
"919","Elin","F",563
"920","Landry","F",624
"921","Maliah","F",607
"922","Alisha","F",565
"923","Belen","F",669
"924","Esperanza","F",560
"925","Vienna","F",586
"926","Raina","F",636
"927","Judith","F",606
"928","Susan","F",589
"929","Faye","F",637
"930","Saniyah","F",524
"931","Aliya","F",621
"932","Yasmin","F",581
"933","Aranza","F",592
"934","Veda","F",607
"935","Yaritza","F",494
"936","Azaria","F",558
"937","Cherish","F",561
"938","Jaylin","F",532
"939","Kaelynn","F",509
"940","Kyndall","F",535
"941","Wendy","F",616
"942","Dixie","F",541
"943","Neriah","F",472
"944","Zainab","F",587
"945","Alissa","F",509
"946","Nala","F",647
"947","Tabitha","F",575
"948","Tegan","F",591
"949","Cordelia","F",542
"950","Ellison","F",582
"951","Angeline","F",524
"952","Hadleigh","F",601
"953","Meilani","F",547
"954","Reina","F",612
"955","Elora","F",655
"956","Harmoni","F",554
"957","Luz","F",546
"958","America","F",538
"959","Ingrid","F",602
"960","Kimora","F",529
"961","Lilia","F",548
"962","Aislinn","F",557
"963","Ellis","F",615
"964","Heather","F",552
"965","Heavenly","F",622
"966","Natalee","F",516
"967","Jenny","F",513
"968","Kiana","F",604
"969","Lilyanna","F",543
"970","Miya","F",563
"971","Aubriella","F",583
"972","Kensington","F",539
"973","Tinley","F",635
